state,residentialPC_co2_2029,electricityPC_co2_2029,transportationPC_co2_2029,City,2016 Average NO2 (10^15 molec cm^-2),PM (microgram),Public Rank,Forecast@2029-02-01,Lower95,Upper95,Renewable,water reuse,water stress,Landfill (tons/person),Recycle rate (%)
Arizona,7.748117320561035e-05,0.0079392366958602,0.0047061636990826,Glendale,6.76,6.0,24.0,14.014660879600957,11.325744069661528,16.70357768954039,0.13,6,0.45,36.5, 
Arizona,7.748117320561035e-05,0.0079392366958602,0.0047061636990826,Tempe,4.84,6.0,24.0,14.014660879600957,11.325744069661528,16.70357768954039,0.13,6,0.45,36.5,34
California,0.0003361635949478,0.0004804515530745,0.0047650556739756,Glendale,15.15,12.6,8.0,12.874055301834511,9.958081438235473,15.790029165433552,0.43,6,0.45,36.5, 
California,0.0003361635949478,0.0004804515530745,0.0047650556739756,Inglewood,13.32,12.6,8.0,12.874055301834511,9.958081438235473,15.790029165433552,0.43,10,0.45,50.4,54
California,0.0003361635949478,0.0004804515530745,0.0047650556739756,Santa Clara,4.33,12.6,8.0,12.874055301834511,9.958081438235473,15.790029165433552,0.43,10,0.45,50.4,54
Colorado,0.0011872272663024,0.0079609638550054,0.0052546445251333,Denver,5.42,5.7,13.0,-0.216647023344942,-3.856360805075667,3.423066758385783,0.35,9,0.45,47.0,33
Florida,-4.144119603699363e-05,0.0053541199159066,0.0052102591746869,Jacksonville,3.54,7.9,23.0,18.91003352232022,16.493711256144373,21.326355788496063,0.06,8,5.0,27.0,42
Florida,-4.144119603699363e-05,0.0053541199159066,0.0052102591746869,Miami Gardens,3.02,7.9,23.0,18.91003352232022,16.493711256144373,21.326355788496063,0.06,8,5.0,27.0,42
Florida,-4.144119603699363e-05,0.0053541199159066,0.0052102591746869,Tampa,3.5,7.9,23.0,18.91003352232022,16.493711256144373,21.326355788496063,0.06,8,5.0,27.0,42
Georgia,0.0005608847759873,0.0063377853688212,0.0062965408972975,Atlanta,6.45,8.8,35.0,9.447325162911904,6.231159620262082,12.66349070556173,0.12,6,0.45,35.4,36
Illinois,0.0014304804877624,0.0059181006135537,0.0050416345504211,Chicago,11.42,8.7,6.0,-2.383548845616025,-6.316503766115423,1.5494060748833731,0.14,2,0.45,54.8,33
Indiana,0.0007509015288688,0.0172776309533979,0.0066565683010965,Indianapolis,5.54,8.6,45.0,0.2080587837843617,-3.823743973421379,4.239861540990103,0.11,6,0.45,59.9,34
Louisiana,0.0001171583267219,0.0091856160094817,0.0103197629949276,New Orleans,2.97,8.3,44.0,14.334648850687952,11.64704606023307,17.022251641142837,0.03,0,0.45,41.2,26
Maryland,0.0006536444673177,0.0030849557784426,0.0050903959222068,Landover,8.57,6.3,10.0,3.453268455565542,0.2584821198943907,6.648054791236694,0.09,2,5.0,21.5,41
Maryland,0.0006536444673177,0.0030849557784426,0.0050903959222068,Baltimore,8.57,6.3,10.0,3.453268455565542,0.2584821198943907,6.648054791236694,0.09,2,0.45,21.5,41
Massachusetts,0.0013131367757446,0.0014194448473206,0.0046833574730987,Orchard Park,6.29,6.8,7.0,-0.9904846349566604,-4.185233044716672,2.204263774803352,0.16,0,5.0,26.8,58
Massachusetts,0.0013131367757446,0.0014194448473206,0.0046833574730987,Foxborough,4.07,6.8,7.0,-0.9904846349566604,-4.185233044716672,2.204263774803352,0.16,7,0.45,16.3,52
Michigan,0.0016454686465767,0.0065565846192431,0.0052110716592261,Detroit,8.26,6.7,22.0,-2.8171937448173017,-6.658769976519783,1.0243824868851794,0.11,0,1.5,66.5,40
Minnesota,0.001238578708052,0.005719695541965,0.0061786623530406,Minneapolis,5.25,6.0,12.0,-6.749667723503482,-11.483668997055968,-2.015666449950995,0.33,5,5.0,18.0,60
Missouri,0.0006442317070106,0.0130695444967187,0.0066674108903377,Kansas City,4.21,7.5,33.0,1.6975158799789496,-2.227385858484316,5.622417618442214,0.11,0,0.45,33.1,46
Nevada,0.0006495394119058,0.0023833078499849,0.0043886941950861,Paradise,4.24,8.2,17.0,10.045614419970043,6.997858112809642,13.093370727130448,0.35,7,5.0,48.4,39
North Carolina,0.0001714285750733,0.0050648800409951,0.0054227260814869,Charlotte,4.92,6.7,28.0,8.432077640226117,5.146601503040078,11.717553777412157,0.12,5,1.5,29.8,44
Ohio,0.0010520295801571,0.0084337264252825,0.0055694480596828,Cincinnati,7.28,7.9,27.0,-0.024724913567258,-3.846185852498115,3.7967360253635984,0.03,3,5.0,52.4,27
Ohio,0.0010520295801571,0.0084337264252825,0.0055694480596828,Cleveland,6.7,7.9,27.0,-0.024724913567258,-3.846185852498115,3.7967360253635984,0.03,3,5.0,52.4,27
Pennsylvania,0.0011615291923689,0.0078418972772993,0.0051286045003378,Philadelphia,9.09,7.8,16.0,1.8803755538515403,-1.548546723207749,5.30929783091083,0.03,7,5.0,57.4,60
Pennsylvania,0.0011615291923689,0.0078418972772993,0.0051286045003378,Pittsburgh,9.26,7.8,16.0,1.8803755538515403,-1.548546723207749,5.30929783091083,0.03,7,5.0,57.4,60
Tennessee,0.0005438904402774,0.0047737721796411,0.0069088714761548,Nashville,4.49,7.0,39.0,7.278590159896276,3.922884383154901,10.63429593663765,0.13,0,0.45,38.4,22
Texas,0.0001281791666695,0.0088918877540932,0.0073680835721289,Arlington,4.69,8.1,25.0,13.517344334921098,10.980360470416656,16.05432819942554,0.26,8,1.5,39.2,39
Texas,0.0001281791666695,0.0088918877540932,0.0073680835721289,Houston,5.8,8.1,25.0,13.517344334921098,10.980360470416656,16.05432819942554,0.26,8,0.45,39.2,39
Washington,0.0006167163399674,0.001627966688814,0.0060094521320241,Seattle,5.54,10.3,5.0,5.995486219184822,3.705572281719888,8.285400156649755,0.76,9,0.45,30.0,58
Wisconsin,0.0011646412440681,0.0078999554007802,0.0053227457363007,Green Bay,6.48,7.7,26.0,-3.791981376560494,-7.740863041945087,0.1569002888240986,0.09,5,0.45,51.8,40
