Country,CO2,Country.1,PM,Public Transport,Landfill,Recycle,Water Reuse,Water Stress,Accommodation,Temp_x,Energy Use,Temp_y
Afghanistan,110.89522,,62.48616,54.93,0.162411131,,943.8,3.37,55.447607,14.48,5.9144115,14.48
Africa,265.81262,4.4785905,,,,,,,602.81966,,243.77217,
Albania,590.60394,17.682753,16.27997,,0.380999993,,588.5,3.47,240.485436,13.31,28.292404,13.31
Algeria,992.36127,13.853037,22.68313,40.566666,0.304849632,8,178.9,3.87,1898.5258,24.11,2096.2065,24.11
Angola,232.9169,3.9287188,27.16477,10.7,0.1679,,39.76,1.13,461.62442,21.63,736.9154,21.63
Antigua and Barbuda,2800.2153,,8.29693,,0.316035835,,,,4415.7243,,0,
Argentina,1122.0514,22.683275,12.04087,57.547825,0.416703543,6,,1.83,1987.53944,15.07,693.05115,15.07
Armenia,808.78064,13.884646,34.12674,,0.169567342,,568.8,2.99,1228.7912,8.64,496.3761,8.64
Asia,546.2663,10.079368,,,,,,,2633.2285,,345.8188,
Australia,3404.0703,66.40971,8.93323,83.48948,0.560965589,42.1,1112,2.91,8382.5087,21.96,2293.8066,21.96
Austria,2329.9229,45.230507,11.50796,95.74286,0.588000012,25.66,452,0.26,2789.9502,8.65,24.27003,8.65
Azerbaijan,887.7832,15.541061,24.64286,83.1,0.303683847,,1216,2.47,2271.90895,13.84,1022.7961,13.84
Bahamas,2037.5206,,5.19903,,,,,,3898.9591,,0,
Bahrain,2478.0562,45.648403,51.81722,21.2,0.66795,8,,5,18520.20921,28.84,2914.9766,28.84
Bangladesh,79.464,1.8301514,45.98906,51.806664,0.094899998,,,2.66,452.69681,25.74,29.518572,25.74
Barbados,1204.2902,,9.78987,,0.62300364,9,,,1983.53657,26.45,70.84059,26.45
Belarus,1091.2175,20.71242,15.48201,83.611115,0.451019304,16,187,1.18,3718.4245,7.98,322.6777,7.98
Belgium,1984.2269,43.807606,11.25612,92.815384,0.415000015,34.303,650.1,4.41,3412.6983,11.98,36.935825,11.98
